id,A4-A4dd,A4/A4a-A4bf,A4-A4h-A4a,A4ch,A4-A4de,A4/A4a,B19-B19ai-B19x-B19ak,B19-B19ai-B19x-B19an,B19aq,B19,B19ao,B19ap,B5-B5ay-B1dx,B19-B19ai-B19x,B19-B19ai,B2,C46-C42.2-C46e,C3-C3lp,C42ef/C42eg-C42eh-C42ej,C3-C3n-C3lp,C46/C3,C46/C1-C42.2,C47a-C47b-C47-C44-C42.2,C46/C42.2,C42ef/C42eg,C47a-C42.2-C44-C47,C1-C1c-C1am-C1ao-C1an-C1b-C3cm,C1/C3-C1c-C1b-C1w,C3-C3ed,C1/C42.2/C3/C1c-C1b,C1-C1c-C1b-C42.2-C3-C1br,C47a-C47c-C42.2-C44-C47,C45l,C1-C1c-C1b-C72k-C42.2,C3-C1-C1c,C45a,C1/C1c-C1al-C1b-C42.2,C3/C46-C3lp,C1-C1b-C1c-C42.2-C1bh-C1br-C1cb-C3,C1/C3-C1c-C1b-C42.2-C1bh-C1br,C3af-C3xo-C3hq,C1/C1c-C3-C1al,C42.2,C46,C1/C3/C42.2,D1-D4-D4c-D1c-D1k-D2,D1-D4-D4c-D1c-D17d-D1r-D17c-D17e,D1/D4/D2-D4c-D1c-D1h,D1/D4-D17d-D4c-D1r-D17c-D17e-D17j,D1-D4-D4c-D6-D2-D1c-D4f,D1-D4-D4c-D1k-D1c,D1-D4-D2-D1c
B9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10,0,0,0,0,0,0,0,1828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48428,0,0,0,0,0,0
C11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83342,0,0,0,0,0,0
C12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29731,0,0,0,0,0,0,0,0,18049,0,0,0,0,0,0
C2,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26859,0,0,0,0,0,0
C3,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16121,0,0,0,0,0,0
C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52474,0,0,0,0,0,0
C5,0,0,0,0,0,0,2530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72921,0,0,0,0,0,0
C6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38463,0,0,0,0,0,0
C7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20218,0,0,0,0,0,0
C8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,825,0,0,0,0,0,0,0,0,0,26066,0,0,0,0
