Clade,ITS2_type
C,C_70789
C,C_C3fw
C,C_48053
C,C_2856103
C,C_2856123
C,C_C3xo
C,C_26573
C,C_2855717
C,C_3065171
C,C_49179
C,C_892898
C,C_2663
C,C_3103443
C,C_C1lx
C,C_2856134
C,C_44098
C,C_3103465
C,C_2856329
C,C_C3cl
C,C_C1j
C,C_2553
C,C_5429
C,C_21042
C,C_C3dg
C,C_3065878
C,C_3103423
C,C_3103456
C,C_2555
C,C_53263
C,C_22278
C,C_3065879
C,C_C3cy
C,C_C1h
C,C_50761
C,C_2152932
C,C_71445
C,C_44105
C,C_21064
C,C_2151486
C,C_C3mo
C,C_C3hq
C,C_44102
C,C_2847132
C,C_3103457
C,C_746972
C,C_C1e
C,C_21059
C,C_21508
C,C_1464544
C,C_44094
C,C_2847130
C,C_1464061
C,C_816
C,C_3065886
C,C_2151438
C,C_17703
C,C_C1bp
C,C_C91
D,D_D1
D,D_D4
D,D_D4c
D,D_D1c
D,D_D1k
D,D_D2
D,D_D1ih
D,D_D1h
D,D_D1ck
D,D_D1n
D,D_22383
D,D_D5
D,D_D1fy
D,D_D1r
D,D_D17c
D,D_D17d
D,D_D1iu
D,D_D4bc
D,D_D4i
D,D_D17e
D,D_13759
D,D_4932
D,D_D1ip
D,D_D4av
D,D_D6
D,D_D17k
D,D_D5m
D,D_D17j
D,D_104741
D,D_D17
D,D_D4f
D,D_D4j
D,D_524521
D,D_62538
D,D_D17l
D,D_D10e
D,D_22593
D,D_3296
D,D_15547
D,D_14233
D,D_D1bp
D,D_D1ad
D,D_45946
D,D_D1ay
D,D_61998
D,D_43420
D,D_2856413
D,D_104711
D,D_72974
D,D_19419
D,D_D17q
D,D_D4ax
D,D_19423
D,D_10759
G,G_G3b
G,G_G3ay
G,G_G3al
