id,host_phylum,host_class,host_order,host_family,host_genus,host_species,site,area,reef_bay,collection_latitude,collection_longitude,collection_date,collection_year,collection_month,collection_depth,site_zone,number,no_sp,no_sp_lo,full_sample_id,m_y,m_y_s_z,sample_full,coral_species,Timepoint,bio_locator,site_zone,depth_m,f_reads_name,r_reads_name,sample_name_bioac,lat_lon
B1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,3/1/20,2020,March,5,SM_reef,61,61_siderea,61_siderea_SM_reef,61SSSMRMarch2020,March_2020,March_2020_SM_reef,SM_reef_B1_March_2020,Siderastrea siderea,Mar-20,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,B1_R1_NoIll.fastq.gz,B1_R2_NoIll.fastq.gz,B1_R1_NoIll,12.26654 N 69.12768 W
B10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,73,73_radians,73_radians_SM_bay,73SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_B10_March_2020,Siderastrea radians,Mar-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,B10_R1_NoIll.fastq.gz,B10_R2_NoIll.fastq.gz,B10_R1_NoIll,12.26947 N 69.12917 W
B11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,89,89_radians,89_radians_SM_bay,89SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_B11_March_2020,Siderastrea radians,Mar-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,B11_R1_NoIll.fastq.gz,B11_R2_NoIll.fastq.gz,B11_R1_NoIll,12.26947 N 69.12917 W
B12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,90,90_radians,90_radians_SM_bay,90SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_B12_March_2020,Siderastrea radians,Mar-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,B12_R1_NoIll.fastq.gz,B12_R2_NoIll.fastq.gz,B12_R1_NoIll,12.26947 N 69.12917 W
B2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,3/1/20,2020,March,5,SM_reef,62,62_siderea,62_siderea_SM_reef,62SSSMRMarch2020,March_2020,March_2020_SM_reef,SM_reef_B2_March_2020,Siderastrea siderea,Mar-20,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,B2_R1_NoIll.fastq.gz,B2_R2_NoIll.fastq.gz,B2_R1_NoIll,12.26654 N 69.12768 W
B3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,3/1/20,2020,March,5,SM_reef,63,63_siderea,63_siderea_SM_reef,63SSSMRMarch2020,March_2020,March_2020_SM_reef,SM_reef_B3_March_2020,Siderastrea siderea,Mar-20,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,B3_R1_NoIll.fastq.gz,B3_R2_NoIll.fastq.gz,B3_R1_NoIll,12.26654 N 69.12768 W
B4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,3/1/20,2020,March,5,SM_reef,64,64_siderea,64_siderea_SM_reef,64SSSMRMarch2020,March_2020,March_2020_SM_reef,SM_reef_B4_March_2020,Siderastrea siderea,Mar-20,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,B4_R1_NoIll.fastq.gz,B4_R2_NoIll.fastq.gz,B4_R1_NoIll,12.26654 N 69.12768 W
B5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,75,75_radians,75_radians_SW_bay,75SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_B5_March_2020,Siderastrea radians,Mar-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,B5_R1_NoIll.fastq.gz,B5_R2_NoIll.fastq.gz,B5_R1_NoIll,12.07093 N 68.8585 W
B6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,79,79_radians,79_radians_SW_bay,79SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_B6_March_2020,Siderastrea radians,Mar-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,B6_R1_NoIll.fastq.gz,B6_R2_NoIll.fastq.gz,B6_R1_NoIll,12.07093 N 68.8585 W
B7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,80,80_radians,80_radians_SW_bay,80SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_B7_March_2020,Siderastrea radians,Mar-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,B7_R1_NoIll.fastq.gz,B7_R2_NoIll.fastq.gz,B7_R1_NoIll,12.07093 N 68.8585 W
B8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,84,84_radians,84_radians_SW_bay,84SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_B8_March_2020,Siderastrea radians,Mar-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,B8_R1_NoIll.fastq.gz,B8_R2_NoIll.fastq.gz,B8_R1_NoIll,12.07093 N 68.8585 W
B9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,98,98_radians,98_radians_SW_bay,98SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_B9_March_2020,Siderastrea radians,Mar-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,B9_R1_NoIll.fastq.gz,B9_R2_NoIll.fastq.gz,B9_R1_NoIll,12.07093 N 68.8585 W
