,id,host_phylum,host_class,host_order,host_family,host_genus,host_species,site,area,reef_bay,collection_latitude,collection_longitude,collection_date,collection_year,collection_month,collection_depth,site_zone,number,no_sp,no_sp_lo,full_sample_id,m_y,m_y_s_z,sample_full,is.neg,mean_pH_site,mean_temp_site,mean_sal_site,mean_do_site,mean_par_site,range_pH_site,range_temp_site,range_sal_site,range_do_site,range_par_site,site_nice,m_rb,coral_species,tp_suffix,number_time
B1,B1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,3/1/20,2020,March,5,SM_reef,61,61_siderea,61_siderea_SM_reef,61SSSMRMarch2020,March_2020,March_2020_SM_reef,SM_reef_B1_March_2020,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,March_2020 reef,Siderastrea siderea,a,61a
B10,B10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,73,73_radians,73_radians_SM_bay,73SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_B10_March_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,March_2020 bay,Siderastrea radians,a,73a
B11,B11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,89,89_radians,89_radians_SM_bay,89SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_B11_March_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,March_2020 bay,Siderastrea radians,a,89a
B12,B12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,90,90_radians,90_radians_SM_bay,90SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_B12_March_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,March_2020 bay,Siderastrea radians,a,90a
B2,B2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,3/1/20,2020,March,5,SM_reef,62,62_siderea,62_siderea_SM_reef,62SSSMRMarch2020,March_2020,March_2020_SM_reef,SM_reef_B2_March_2020,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,March_2020 reef,Siderastrea siderea,a,62a
B3,B3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,3/1/20,2020,March,5,SM_reef,63,63_siderea,63_siderea_SM_reef,63SSSMRMarch2020,March_2020,March_2020_SM_reef,SM_reef_B3_March_2020,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,March_2020 reef,Siderastrea siderea,a,63a
B4,B4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,3/1/20,2020,March,5,SM_reef,64,64_siderea,64_siderea_SM_reef,64SSSMRMarch2020,March_2020,March_2020_SM_reef,SM_reef_B4_March_2020,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,March_2020 reef,Siderastrea siderea,a,64a
B5,B5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,75,75_radians,75_radians_SW_bay,75SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_B5_March_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,March_2020 bay,Siderastrea radians,a,75a
B6,B6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,79,79_radians,79_radians_SW_bay,79SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_B6_March_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,March_2020 bay,Siderastrea radians,a,79a
B7,B7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,80,80_radians,80_radians_SW_bay,80SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_B7_March_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,March_2020 bay,Siderastrea radians,a,80a
B8,B8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,84,84_radians,84_radians_SW_bay,84SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_B8_March_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,March_2020 bay,Siderastrea radians,a,84a
B9,B9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,98,98_radians,98_radians_SW_bay,98SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_B9_March_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,March_2020 bay,Siderastrea radians,a,98a
C1,C1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,92,92_radians,92_radians_SM_bay,92SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_C1_March_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,March_2020 bay,Siderastrea radians,a,92a
C10,C10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,35,35_siderea,35_siderea_SM_bay,35SSSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_C10_November_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2020 bay,Siderastrea siderea,b,35b
C11,C11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,37,37_siderea,37_siderea_SM_bay,37SSSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_C11_November_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2020 bay,Siderastrea siderea,b,37b
C12,C12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,70,70_siderea,70_siderea_SM_bay,70SSSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_C12_November_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2020 bay,Siderastrea siderea,b,70b
C2,C2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,56,56_siderea,56_siderea_SW_bay,56SSSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_C2_November_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2020 bay,Siderastrea siderea,b,56b
C3,C3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,77,77_siderea,77_siderea_SW_bay,77SSSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_C3_November_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2020 bay,Siderastrea siderea,b,77b
C4,C4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,83,83_siderea,83_siderea_SW_bay,83SSSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_C4_November_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2020 bay,Siderastrea siderea,b,83b
C5,C5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,95,95_siderea,95_siderea_SW_bay,95SSSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_C5_November_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2020 bay,Siderastrea siderea,b,95b
C6,C6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/20,2020,November,5,SW_reef,49,49_siderea,49_siderea_SW_reef,49SSDBNovember2020,November_2020,November_2020_SW_reef,SW_reef_C6_November_2020,FALSE,8.047646275,28.51712935,35.58084344,6.310593286,532.1785342,0.630546,3.52,1.42991559,3.44,1759.366821,Spaanse Water Reef,November_2020 reef,Siderastrea siderea,b,49b
