"id","Observed","Shannon","InvSimpson","host_phylum","host_class","host_order","host_family","host_genus","host_species","site","area","reef_bay","collection_latitude","collection_longitude","collection_date","collection_year","collection_month","collection_depth","site_zone","number","no_sp","no_sp_lo","full_sample_id","m_y","m_y_s_z","sample_full","is.neg","even","r_b_m_y"
"B2",484,3.81425746266409,13.6638337362189,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef",12.26654,69.12768,"3/1/20",2020,"March",5,"SM_reef","62","62_siderea","62_siderea_SM_reef","62SSSMRMarch2020","March_2020","March_2020_SM_reef","SM_reef_B2_March_2020",FALSE,0.61698561572974,"reef March_2020"
"B3",588,5.41362916925253,90.7349304553323,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef",12.26654,69.12768,"3/1/20",2020,"March",5,"SM_reef","63","63_siderea","63_siderea_SM_reef","63SSSMRMarch2020","March_2020","March_2020_SM_reef","SM_reef_B3_March_2020",FALSE,0.848966752612251,"reef March_2020"
"B4",753,6.04570060548479,215.101220351344,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef",12.26654,69.12768,"3/1/20",2020,"March",5,"SM_reef","64","64_siderea","64_siderea_SM_reef","64SSSMRMarch2020","March_2020","March_2020_SM_reef","SM_reef_B4_March_2020",FALSE,0.912687360038693,"reef March_2020"
"B5",393,3.09257656459545,5.51602707297557,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","75","75_radians","75_radians_SW_bay","75SRSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_B5_March_2020",FALSE,0.517689174166325,"bay March_2020"
"B6",781,5.17979230367337,39.8356031612228,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","79","79_radians","79_radians_SW_bay","79SRSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_B6_March_2020",FALSE,0.777679432653507,"bay March_2020"
"B7",471,5.36909064808172,93.6148000042449,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","80","80_radians","80_radians_SW_bay","80SRSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_B7_March_2020",FALSE,0.872333783503701,"bay March_2020"
"B8",47,2.96720006390375,10.1908093366049,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","84","84_radians","84_radians_SW_bay","84SRSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_B8_March_2020",FALSE,0.770671769203303,"bay March_2020"
"B9",344,4.96967360594054,56.9845785701841,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","98","98_radians","98_radians_SW_bay","98SRSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_B9_March_2020",FALSE,0.850878019483815,"bay March_2020"
"C1",508,5.2478368078159,85.3739309471812,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","92","92_radians","92_radians_SM_bay","92SRSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_C1_March_2020",FALSE,0.842284316544351,"bay March_2020"
"C10",159,4.5273574975458,59.3923904446606,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"11/1/20",2020,"November",1,"SM_bay","35","35_siderea","35_siderea_SM_bay","35SSSMBNovember2020","November_2020","November_2020_SM_bay","SM_bay_C10_November_2020",FALSE,0.893162963222459,"bay November_2020"
"C11",71,3.35608910330995,17.975389195035,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"11/1/20",2020,"November",1,"SM_bay","37","37_siderea","37_siderea_SM_bay","37SSSMBNovember2020","November_2020","November_2020_SM_bay","SM_bay_C11_November_2020",FALSE,0.78731905752195,"bay November_2020"
"C12",62,2.64578901057388,6.5417793798541,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"11/1/20",2020,"November",1,"SM_bay","70","70_siderea","70_siderea_SM_bay","70SSSMBNovember2020","November_2020","November_2020_SM_bay","SM_bay_C12_November_2020",FALSE,0.641071688908664,"bay November_2020"
"C2",86,3.78805998790824,26.6306338341186,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"11/1/20",2020,"November",1,"SW_bay","56","56_siderea","56_siderea_SW_bay","56SSSWBNovember2020","November_2020","November_2020_SW_bay","SW_bay_C2_November_2020",FALSE,0.850418644072572,"bay November_2020"
"C3",99,4.00050466749169,31.8455620255619,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"11/1/20",2020,"November",1,"SW_bay","77","77_siderea","77_siderea_SW_bay","77SSSWBNovember2020","November_2020","November_2020_SW_bay","SW_bay_C3_November_2020",FALSE,0.870598547581848,"bay November_2020"
"C4",355,4.26236427852701,16.9977235612627,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"11/1/20",2020,"November",1,"SW_bay","83","83_siderea","83_siderea_SW_bay","83SSSWBNovember2020","November_2020","November_2020_SW_bay","SW_bay_C4_November_2020",FALSE,0.725864914727432,"bay November_2020"
"C5",141,4.21664365761537,28.619294770963,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"11/1/20",2020,"November",1,"SW_bay","95","95_siderea","95_siderea_SW_bay","95SSSWBNovember2020","November_2020","November_2020_SW_bay","SW_bay_C5_November_2020",FALSE,0.852060667928899,"bay November_2020"
"C6",26,1.88161254231147,3.88144302268041,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef",12.06624,68.86019,"11/1/20",2020,"November",5,"SW_reef","49","49_siderea","49_siderea_SW_reef","49SSDBNovember2020","November_2020","November_2020_SW_reef","SW_reef_C6_November_2020",FALSE,0.577518965553457,"reef November_2020"
"C7",34,2.28740315947359,5.241490309381,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef",12.06624,68.86019,"11/1/20",2020,"November",5,"SW_reef","85","85_siderea","85_siderea_SW_reef","85SSDBNovember2020","November_2020","November_2020_SW_reef","SW_reef_C7_November_2020",FALSE,0.648658338676975,"reef November_2020"
"C8",44,2.65323907852896,9.2806404519959,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef",12.06624,68.86019,"11/1/20",2020,"November",5,"SW_reef","96","96_siderea","96_siderea_SW_reef","96SSDBNovember2020","November_2020","November_2020_SW_reef","SW_reef_C8_November_2020",FALSE,0.70113798070466,"reef November_2020"
"C9",68,2.45222900456774,4.37370048371972,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef",12.06624,68.86019,"11/1/20",2020,"November",5,"SW_reef","97","97_siderea","97_siderea_SW_reef","97SSDBNovember2020","November_2020","November_2020_SW_reef","SW_reef_C9_November_2020",FALSE,0.581164717760693,"reef November_2020"
"D1",151,3.83400752196492,18.6474371046152,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"11/1/20",2020,"November",1,"SM_bay","82","82_siderea","82_siderea_SM_bay","82SSSMBNovember2020","November_2020","November_2020_SM_bay","SM_bay_D1_November_2020",FALSE,0.764160590332716,"bay November_2020"
"D10",208,3.34904010026381,9.72927155695148,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"11/1/20",2020,"November",1,"SW_bay","84","84_radians","84_radians_SW_bay","84SRSWBNovember2020","November_2020","November_2020_SW_bay","SW_bay_D10_November_2020",FALSE,0.627450343258481,"bay November_2020"
"D11",116,3.07767349421131,7.15998775865665,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay",12.26947,69.12917,"11/1/20",2020,"November",1,"SM_bay","98","98_radians","98_radians_SM_bay","98SRSWBNovember2020","November_2020","November_2020_SM_bay","SM_bay_D11_November_2020",FALSE,0.647441906113283,"bay November_2020"
"D12",75,3.18676772931692,12.1308875617925,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay",12.26947,69.12917,"11/1/20",2020,"November",1,"SM_bay","44","44_radians","44_radians_SM_bay","44SRSMBNovember2020","November_2020","November_2020_SM_bay","SM_bay_D12_November_2020",FALSE,0.738106891209653,"bay November_2020"
