,id,host_phylum,host_class,host_order,host_family,host_genus,host_species,site,area,reef_bay,collection_latitude,collection_longitude,collection_date,collection_year,collection_month,collection_depth,site_zone,number,no_sp,no_sp_lo,full_sample_id,m_y,m_y_s_z,sample_full,dominant_type
11,A8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,3/1/20,2020,March,5,SW_reef,97,97_siderea,97_siderea_SW_reef,97SSDBMarch2020,March_2020,March_2020_SW_reef,SW_reef_A8_March_2020,C3
12,A9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,74,74_siderea,74_siderea_SM_bay,74SSSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_A9_March_2020,D1
13,B1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,3/1/20,2020,March,5,SM_reef,61,61_siderea,61_siderea_SM_reef,61SSSMRMarch2020,March_2020,March_2020_SM_reef,SM_reef_B1_March_2020,C3
14,B10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,73,73_radians,73_radians_SM_bay,73SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_B10_March_2020,C46
15,B11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,89,89_radians,89_radians_SM_bay,89SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_B11_March_2020,C46
16,B12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,90,90_radians,90_radians_SM_bay,90SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_B12_March_2020,C46
17,B2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,3/1/20,2020,March,5,SM_reef,62,62_siderea,62_siderea_SM_reef,62SSSMRMarch2020,March_2020,March_2020_SM_reef,SM_reef_B2_March_2020,D1
18,B3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,3/1/20,2020,March,5,SM_reef,63,63_siderea,63_siderea_SM_reef,63SSSMRMarch2020,March_2020,March_2020_SM_reef,SM_reef_B3_March_2020,C1
19,B4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,3/1/20,2020,March,5,SM_reef,64,64_siderea,64_siderea_SM_reef,64SSSMRMarch2020,March_2020,March_2020_SM_reef,SM_reef_B4_March_2020,C3
20,B5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,75,75_radians,75_radians_SW_bay,75SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_B5_March_2020,C46
21,B6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,79,79_radians,79_radians_SW_bay,79SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_B6_March_2020,C46
22,B7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,80,80_radians,80_radians_SW_bay,80SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_B7_March_2020,C46
23,B8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,84,84_radians,84_radians_SW_bay,84SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_B8_March_2020,C46
24,B9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,98,98_radians,98_radians_SW_bay,98SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_B9_March_2020,C46
25,C1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,92,92_radians,92_radians_SM_bay,92SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_C1_March_2020,C46
26,C10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,35,35_siderea,35_siderea_SM_bay,35SSSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_C10_November_2020,D1
27,C11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,37,37_siderea,37_siderea_SM_bay,37SSSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_C11_November_2020,D1
