Date,Time,PAR_uncal,PAR_cal,°C,Site,Habitat,Timepoint
3/11/20,9:26:00,4844,439.3508,26.38,Spaanse Water Reef,Reef,March 2020
3/11/20,9:31:00,4135,375.0445,26.38,Spaanse Water Reef,Reef,March 2020
3/11/20,9:36:00,4664,423.0248,26.38,Spaanse Water Reef,Reef,March 2020
3/11/20,9:41:00,6590,597.713,26.44,Spaanse Water Reef,Reef,March 2020
3/11/20,9:46:00,7725,700.6575,26.44,Spaanse Water Reef,Reef,March 2020
3/11/20,9:51:00,7419,672.9033,26.44,Spaanse Water Reef,Reef,March 2020
3/11/20,9:56:00,8303,753.0821,26.44,Spaanse Water Reef,Reef,March 2020
3/11/20,10:01:00,8659,785.3713,26.5,Spaanse Water Reef,Reef,March 2020
3/11/20,10:06:00,6751,612.3157,26.5,Spaanse Water Reef,Reef,March 2020
3/11/20,10:11:00,7832,710.3624,26.5,Spaanse Water Reef,Reef,March 2020
3/11/20,10:16:00,5621,509.8247,26.5,Spaanse Water Reef,Reef,March 2020
3/11/20,10:21:00,6522,591.5454,26.5,Spaanse Water Reef,Reef,March 2020
3/11/20,10:26:00,6467,586.5569,26.5,Spaanse Water Reef,Reef,March 2020
3/11/20,10:31:00,7328,664.6496,26.5,Spaanse Water Reef,Reef,March 2020
3/11/20,10:36:00,7274,659.7518,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,10:41:00,7859,712.8113,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,10:46:00,8558,776.2106,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,10:51:00,10201,925.2307,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,10:56:00,9034,819.3838,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,11:01:00,10296,933.8472,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,11:06:00,12064,1094.2048,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,11:11:00,11598,1051.9386,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,11:16:00,11483,1041.5081,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,11:21:00,8279,750.9053,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,11:26:00,13797,1251.3879,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,11:31:00,9824,891.0368,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,11:36:00,9654,875.6178,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,11:41:00,12635,1145.9945,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,11:46:00,12589,1141.8223,26.75,Spaanse Water Reef,Reef,March 2020
3/11/20,11:51:00,13056,1184.1792,26.75,Spaanse Water Reef,Reef,March 2020
3/11/20,11:56:00,10943,992.5301,26.75,Spaanse Water Reef,Reef,March 2020
3/11/20,12:01:00,12450,1129.215,26.75,Spaanse Water Reef,Reef,March 2020
3/11/20,12:06:00,13625,1235.7875,26.75,Spaanse Water Reef,Reef,March 2020
3/11/20,12:11:00,10206,925.6842,26.75,Spaanse Water Reef,Reef,March 2020
3/11/20,12:16:00,9789,887.8623,26.75,Spaanse Water Reef,Reef,March 2020
3/11/20,12:21:00,8743,792.9901,26.75,Spaanse Water Reef,Reef,March 2020
3/11/20,12:26:00,7146,648.1422,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,12:31:00,10227,927.5889,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,12:36:00,8510,771.857,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,12:41:00,10574,959.0618,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,12:46:00,8170,741.019,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,12:51:00,9034,819.3838,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,12:56:00,7960,721.972,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,13:01:00,7837,710.8159,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,13:06:00,12061,1093.9327,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,13:11:00,13673,1240.1411,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,13:16:00,17217,1561.5819,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,13:21:00,13534,1227.5338,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,13:26:00,15521,1407.7547,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,13:31:00,13318,1207.9426,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,13:36:00,13199,1197.1493,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,13:41:00,16530,1499.271,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,13:46:00,15896,1441.7672,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,13:51:00,15336,1390.9752,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,13:56:00,12439,1128.2173,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,14:01:00,11719,1062.9133,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,14:06:00,14065,1275.6955,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,14:11:00,15086,1368.3002,26.75,Spaanse Water Reef,Reef,March 2020
3/11/20,14:16:00,13799,1251.5693,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,14:21:00,14858,1347.6206,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,14:26:00,14780,1340.546,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,14:31:00,14426,1308.4382,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,14:36:00,14146,1283.0422,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,14:41:00,10466,949.2662,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,14:46:00,11517,1044.5919,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,14:51:00,12002,1088.5814,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,14:56:00,12425,1126.9475,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,15:01:00,12666,1148.8062,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,15:06:00,12178,1104.5446,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,15:11:00,11653,1056.9271,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,15:16:00,11722,1063.1854,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,15:21:00,11435,1037.1545,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,15:26:00,10710,971.397,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,15:31:00,10878,986.6346,26.75,Spaanse Water Reef,Reef,March 2020
3/11/20,15:36:00,10577,959.3339,26.75,Spaanse Water Reef,Reef,March 2020
3/11/20,15:41:00,10374,940.9218,26.75,Spaanse Water Reef,Reef,March 2020
3/11/20,15:46:00,9876,895.7532,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,15:51:00,9786,887.5902,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,15:56:00,9125,827.6375,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,16:01:00,9200,834.44,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,16:06:00,8876,805.0532,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,16:11:00,8505,771.4035,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,16:16:00,8147,738.9329,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,16:21:00,7859,712.8113,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,16:26:00,7314,663.3798,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,16:31:00,6215,563.7005,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,16:36:00,6589,597.6223,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,16:41:00,5817,527.6019,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,16:46:00,5023,455.5861,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,16:51:00,5466,495.7662,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,16:56:00,5125,464.8375,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,17:01:00,4662,422.8434,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,17:06:00,4194,380.3958,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,17:11:00,3170,287.519,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,17:16:00,2220,201.354,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,17:21:00,2177,197.4539,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,17:26:00,3124,283.3468,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,17:31:00,3199,290.1493,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,17:36:00,2635,238.9945,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,17:41:00,1684,152.7388,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,17:46:00,1239,112.3773,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,17:51:00,1213,110.0191,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,17:56:00,1166,105.7562,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,18:01:00,1039,94.2373,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,18:06:00,838,76.0066,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,18:11:00,818,74.1926,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,18:16:00,780,70.746,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,18:21:00,644,58.4108,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,18:26:00,429,38.9103,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,18:31:00,273,24.7611,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,18:36:00,183,16.5981,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,18:41:00,108,9.7956,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,18:46:00,59,5.3513,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,18:51:00,29,2.6303,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,18:56:00,10,0.907,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,19:01:00,2,0.1814,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,19:06:00,1,0.0907,26.63,Spaanse Water Reef,Reef,March 2020
3/12/20,6:31:00,6,0.5442,26.38,Spaanse Water Reef,Reef,March 2020
3/12/20,6:36:00,19,1.7233,26.38,Spaanse Water Reef,Reef,March 2020
3/12/20,6:41:00,50,4.535,26.38,Spaanse Water Reef,Reef,March 2020
3/12/20,6:46:00,102,9.2514,26.38,Spaanse Water Reef,Reef,March 2020
3/12/20,6:51:00,176,15.9632,26.44,Spaanse Water Reef,Reef,March 2020
3/12/20,6:56:00,277,25.1239,26.44,Spaanse Water Reef,Reef,March 2020
3/12/20,7:01:00,385,34.9195,26.44,Spaanse Water Reef,Reef,March 2020
3/12/20,7:06:00,662,60.0434,26.44,Spaanse Water Reef,Reef,March 2020
3/12/20,7:11:00,750,68.025,26.38,Spaanse Water Reef,Reef,March 2020
3/12/20,7:16:00,899,81.5393,26.31,Spaanse Water Reef,Reef,March 2020
3/12/20,7:21:00,1102,99.9514,26.31,Spaanse Water Reef,Reef,March 2020
3/12/20,7:26:00,1310,118.817,26.25,Spaanse Water Reef,Reef,March 2020
3/12/20,7:31:00,1645,149.2015,26.25,Spaanse Water Reef,Reef,March 2020
3/12/20,7:36:00,1870,169.609,26.25,Spaanse Water Reef,Reef,March 2020
3/12/20,7:41:00,2083,188.9281,26.25,Spaanse Water Reef,Reef,March 2020
3/12/20,7:46:00,2206,200.0842,26.19,Spaanse Water Reef,Reef,March 2020
3/12/20,7:51:00,2751,249.5157,26.19,Spaanse Water Reef,Reef,March 2020
3/12/20,7:56:00,2641,239.5387,26.19,Spaanse Water Reef,Reef,March 2020
3/12/20,8:01:00,2302,208.7914,26.19,Spaanse Water Reef,Reef,March 2020
3/12/20,8:06:00,3843,348.5601,26.25,Spaanse Water Reef,Reef,March 2020
3/12/20,8:11:00,3446,312.5522,26.31,Spaanse Water Reef,Reef,March 2020
3/12/20,8:16:00,3711,336.5877,26.38,Spaanse Water Reef,Reef,March 2020
3/12/20,8:21:00,5532,501.7524,26.44,Spaanse Water Reef,Reef,March 2020
3/12/20,8:26:00,3165,287.0655,26.44,Spaanse Water Reef,Reef,March 2020
3/12/20,8:31:00,2480,224.936,26.44,Spaanse Water Reef,Reef,March 2020
3/12/20,8:36:00,4007,363.4349,26.5,Spaanse Water Reef,Reef,March 2020
3/12/20,8:41:00,4683,424.7481,26.5,Spaanse Water Reef,Reef,March 2020
3/12/20,8:46:00,4550,412.685,26.5,Spaanse Water Reef,Reef,March 2020
3/12/20,8:51:00,8080,732.856,26.44,Spaanse Water Reef,Reef,March 2020
3/12/20,8:56:00,3566,323.4362,26.38,Spaanse Water Reef,Reef,March 2020
3/12/20,9:01:00,5598,507.7386,26.38,Spaanse Water Reef,Reef,March 2020
3/12/20,9:06:00,3707,336.2249,26.38,Spaanse Water Reef,Reef,March 2020
3/12/20,9:11:00,3913,354.9091,26.31,Spaanse Water Reef,Reef,March 2020
3/12/20,9:16:00,3147,285.4329,26.31,Spaanse Water Reef,Reef,March 2020
3/12/20,9:21:00,3929,356.3603,26.31,Spaanse Water Reef,Reef,March 2020
3/12/20,9:26:00,3663,332.2341,26.31,Spaanse Water Reef,Reef,March 2020
3/12/20,9:31:00,3539,320.9873,26.31,Spaanse Water Reef,Reef,March 2020
3/12/20,9:36:00,6852,621.4764,26.38,Spaanse Water Reef,Reef,March 2020
3/12/20,9:41:00,5001,453.5907,26.38,Spaanse Water Reef,Reef,March 2020
3/12/20,9:46:00,6435,583.6545,26.38,Spaanse Water Reef,Reef,March 2020
3/12/20,9:51:00,6184,560.8888,26.38,Spaanse Water Reef,Reef,March 2020
3/12/20,9:56:00,9837,892.2159,26.44,Spaanse Water Reef,Reef,March 2020
3/12/20,10:01:00,9121,827.2747,26.44,Spaanse Water Reef,Reef,March 2020
3/12/20,10:06:00,4083,370.3281,26.44,Spaanse Water Reef,Reef,March 2020
3/12/20,10:11:00,8830,800.881,26.5,Spaanse Water Reef,Reef,March 2020
3/12/20,10:16:00,6643,602.5201,26.5,Spaanse Water Reef,Reef,March 2020
3/12/20,10:21:00,10150,920.605,26.5,Spaanse Water Reef,Reef,March 2020
3/12/20,10:26:00,6863,622.4741,26.5,Spaanse Water Reef,Reef,March 2020
3/12/20,10:31:00,11622,1054.1154,26.56,Spaanse Water Reef,Reef,March 2020
3/12/20,10:36:00,14170,1285.219,26.56,Spaanse Water Reef,Reef,March 2020
3/12/20,10:41:00,13213,1198.4191,26.63,Spaanse Water Reef,Reef,March 2020
3/12/20,10:46:00,13585,1232.1595,26.56,Spaanse Water Reef,Reef,March 2020
3/12/20,10:51:00,12083,1095.9281,26.63,Spaanse Water Reef,Reef,March 2020
3/12/20,10:56:00,13625,1235.7875,26.63,Spaanse Water Reef,Reef,March 2020
3/12/20,11:01:00,11071,1004.1397,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,11:06:00,12667,1148.8969,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,11:11:00,14966,1357.4162,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,11:16:00,14966,1357.4162,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,11:21:00,15557,1411.0199,26.75,Spaanse Water Reef,Reef,March 2020
3/12/20,11:26:00,11672,1058.6504,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,11:31:00,13519,1226.1733,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,11:36:00,15258,1383.9006,26.75,Spaanse Water Reef,Reef,March 2020
3/12/20,11:41:00,16004,1451.5628,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,11:46:00,14742,1337.0994,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,11:51:00,13910,1261.637,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,11:56:00,15377,1394.6939,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,12:01:00,15953,1446.9371,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,12:06:00,16573,1503.1711,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,12:11:00,14295,1296.5565,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,12:16:00,16597,1505.3479,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,12:21:00,16339,1481.9473,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,12:26:00,16913,1534.0091,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,12:31:00,16451,1492.1057,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,12:36:00,17153,1555.7771,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,12:41:00,17733,1608.3831,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,12:46:00,13705,1243.0435,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,12:51:00,16070,1457.549,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,12:56:00,16348,1482.7636,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,13:01:00,17647,1600.5829,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,13:06:00,17329,1571.7403,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,13:11:00,17224,1562.2168,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,13:16:00,16520,1498.364,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,13:21:00,16863,1529.4741,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,13:26:00,16633,1508.6131,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,13:31:00,17388,1577.0916,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,13:36:00,15315,1389.0705,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,13:41:00,11617,1053.6619,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,13:46:00,14055,1274.7885,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,13:51:00,14719,1335.0133,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,13:56:00,11536,1046.3152,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,14:01:00,16736,1517.9552,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,14:06:00,16488,1495.4616,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,14:11:00,14750,1337.825,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,14:16:00,14902,1351.6114,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,14:21:00,11314,1026.1798,26.63,Spaanse Water Reef,Reef,March 2020
3/12/20,14:26:00,16039,1454.7373,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,14:31:00,9808,889.5856,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,14:36:00,15547,1410.1129,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,14:41:00,14883,1349.8881,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,14:46:00,11456,1039.0592,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,14:51:00,12957,1175.1999,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,14:56:00,12483,1132.2081,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,15:01:00,13627,1235.9689,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,15:06:00,12782,1159.3274,26.69,Spaanse Water Reef,Reef,March 2020
